trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.16080400001374,330.66705640000873,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.1606227000011,332.66639560001204,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.1605123000045,334.666549400019,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.1602386000159,336.6665409000125,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1599725999986,338.6660164000059,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.15980320001836,340.66612550002174,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1595602000016,342.66543210000964,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.15942160002305,344.6655439000169,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.1592227000219,346.66497850001906,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.1650493000052,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.16479950002395,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
111,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.1646684000152,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
112,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.1644469000166,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
113,0,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.1642460000003,356.67225130001316,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.16411589999916,358.6813925000024,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.1637482000224,360.6696789000125,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.1637751000235,362.66927340000984,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.16349210002227,364.66927209999994,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
118,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.1632618000149,366.6689047999971,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
119,0,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.1631313000107,368.66889490000904,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
120,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.16288129999884,370.673661000008,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
