trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,146.76659529999597,148.27461759996368,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,148.76638960000128,150.27532029995928,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,150.76611590001266,152.2765730000101,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,152.76597599999513,154.27287479996448,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,154.76564890000736,156.2731347999652,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,156.7655310999835,158.27250999998068,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158.77143449999858,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.7711377000087,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,162.7709094999591,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,164.77070980001008,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,166.77044160000514,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,168.77028369996697,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,170.77005039999494,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,172.76984149997588,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,174.76969819999067,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,176.76943659997778,178.2759023999679,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,178.76923490001354,180.27628049999475,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.76906680001412,182.27880119998008,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,182.76892160001444,184.27611779997824,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,184.76867499999935,186.2750174999819,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,186.7684486999642,188.27578480000375,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,188.76836330001242,190.27466449997155,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,190.76818349998211,192.27578149997862,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,192.76786620001076,194.27385050000157,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,194.76768349995837,196.27549159998307,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,196.7674859999679,198.27596749999793,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,198.76725849998184,200.27526429999853,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7670708000078,202.2750402999809,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.76685650000582,204.2760844999575,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,204.76666540000588,206.27596130000893,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,206.76647789997514,208.27352839999367,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,208.76619319996098,210.27407639997546,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,210.76609619997907,212.27358360000653,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,212.76587249996373,214.27328049996868,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,214.76570839999476,216.27362849999918,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,216.7714015999809,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,218.77123640000354,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,220.7710439999937,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,222.77090269996552,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7706496999599,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,226.77045089995954,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,228.77027699997416,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,230.77000719995704,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,232.7697795999702,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
111,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,234.76961369998753,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
112,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,236.7693941000034,238.27622199995676,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
113,0,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,238.76921749999747,240.27644499996677,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,240.76905810000608,242.27491899998859,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,242.76894539996283,244.27643470000476,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
