trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.47443970001768,125.98030850000214,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,126.9782587000227,127.47997760001454,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,128.47420570001123,128.97986190000665,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,129.97815310000442,130.48333859999548,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,131.48052209999878,131.97970930000884,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,132.97722570001497,133.48323670000536,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,134.47959730000002,134.97947829999612,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.97829420000198,136.48246130000916,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,137.47964150001644,137.97987260000082,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,138.97633279999718,139.48624460000428,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,140.47971030001645,140.97894680002355,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,141.97722580001573,142.48282620002283,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,143.47888340000645,143.9793711999955,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.97571250001783,145.48256010000478,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,146.47848130000057,146.97956110001542,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,147.97523270000238,148.48084180001752,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,149.47826400000486,149.97993460000725,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,150.97492360000615,151.48198010001215,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,152.47840580000775,152.97912020000513,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,153.97455189999891,154.48141850001412,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,155.47839200001908,155.97969510001712,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,156.97438770000008,157.4808801000181,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158.47850019999896,158.98246890000883,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159.98030660001677,160.4796198999975,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,161.4789728000178,161.982599400013,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,162.97966209999868,163.4802685000177,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,164.478626600001,164.9818051000184,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,165.98035460000392,166.48013820001506,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4780287000176,167.98198120002053,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,168.97927490001894,169.47987010001088,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,170.47749980000663,170.98207810000167,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9790240000002,172.4797526000184,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4758083000197,173.98187230000622,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9786604999972,175.47898880002322,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,176.47530360001838,176.98081450001337,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,177.97861410002224,178.47990430000937,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,179.47503220001818,179.98109549999936,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.97841520002112,181.47985080000944,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
