trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,card_shown.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
133,0,133,0,,,,,,,,,,,,,,,,,,,240.8230672000209,241.33041220001178,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
134,0,134,0,,,,,,,,,,,,,,,,,,,242.32479899999453,242.82737810001709,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
135,0,135,0,,,,,,,,,,,,,,,,,,,243.8289012000314,244.3300185999833,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
136,0,136,0,,,,,,,,,,,,,,,,,,,245.32501030003186,245.8270763999899,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
137,0,137,0,,,,,,,,,,,,,,,,,,,246.82796530000633,247.32761069998378,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
138,0,138,0,,,,,,,,,,,,,,,,,,,248.32902840001043,248.8300828000065,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
139,0,139,0,,,,,,,,,,,,,,,,,,,249.82550470001297,250.3327228000271,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
140,0,140,0,,,,,,,,,,,,,,,,,,,251.32833210000535,251.8312493999838,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
141,0,141,0,,,,,,,,,,,,,,,,,,,252.82600719999755,253.32872180000413,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
142,0,142,0,,,,,,,,,,,,,,,,,,,254.32351469999412,254.83132980001392,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
143,0,143,0,,,,,,,,,,,,,,,,,,,255.8266628999845,256.3285094000166,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
144,0,144,0,,,,,,,,,,,,,,,,,,,257.32368540001335,257.8299801000394,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
145,0,145,0,,,,,,,,,,,,,,,,,,,258.82468489999883,259.33446370001184,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
146,0,146,0,,,,,,,,,,,,,,,,,,,260.32332890003454,260.8416397999972,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
147,0,147,0,,,,,,,,,,,,,,,,,,,261.824107500026,262.3315666000126,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
148,0,148,0,,,,,,,,,,,,,,,,,,,263.32639890001155,263.82775410002796,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
