trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
106,0,106,0,,,,,,,,,,,,,,,,,,,206.6223742000002,207.9297387000115,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
107,0,107,0,,,,,,,,,,,,,,,,,,,208.22221760000684,209.53014480001002,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
108,0,108,0,,,,,,,,,,,,,,,,,,,209.8222853000043,211.13100540000596,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
109,0,109,0,,,,,,,,,,,,,,,,,,,211.42181100000744,212.7283090000128,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
110,0,110,0,,,,,,,,,,,,,,,,,,,213.02165420001256,214.32775780001248,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
111,0,111,0,,,,,,,,,,,,,,,,,,,214.62152990000322,215.92887140001403,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
112,0,112,0,,,,,,,,,,,,,,,,,,,216.2214166000049,217.52895700000226,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
113,0,113,0,,,,,,,,,,,,,,,,,,,217.8213642000046,219.12806600000476,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
114,0,114,0,,,,,,,,,,,,,,,,,,,219.4209317000059,220.72734480000508,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
115,0,115,0,,,,,,,,,,,,,,,,,,,221.0208144000062,222.3281769000023,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
116,0,116,0,,,,,,,,,,,,,,,,,,,222.62069770001108,223.9296202000114,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
117,0,117,0,,,,,,,,,,,,,,,,,,,224.22055230000115,225.52833120001014,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
